"name","street","city","zip","phone","sys_updated_on","apple_icon","banner_image","banner_text","sys_class_name","contact","coordinates_retrieved_on","country","sys_created_on","sys_created_by","customer","discount","fax_phone","fiscal_year","lat_long_error","latitude","longitude","manufacturer","market_cap","notes","num_employees","parent","primary","profits","publicly_traded","rank_tier","revenue_per_year","state","stock_price","stock_symbol","sys_tags","theme","banner_image_light","sys_updated_by","sys_mod_count","vendor","vendor_manager","vendor_type","website"
"3Com","","","","","2013-06-05 21:18:22","","5daac619df710100a9e78b6c3df26383.iix","","Company","","","","2005-05-24 06:44:46","guest","false","","","","","","","true","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"Acer","333 W. San Carlos St.,Ste. 1500","San Jose","95110","(408) 533-7700","2013-06-05 21:17:42","","09c198dbbf4101007a6d257b3f07397e.iix","explore beyond limits","Company","","","USA","2010-05-10 17:10:09","dariusz.maint","false","","(408) 533-7700","","","37.328474","-121.893533","true","?0.00","","7,500","","false","?0.00","true","Valued Partner","?0.00","CA","23.60","2353:TW","","","","admin","15","true","Alene Rabeck","Hardware",""
"ACME Africa","","","","","2013-06-06 03:49:34","","","","Company","","","USA","2012-02-19 22:55:24","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME Corporation","false","?0.00","false","","?0.00","","","","","","","admin","3","false","","",""
"ACME Americas","","","","","2013-06-06 03:50:45","","","","Company","","","USA","2012-02-19 23:05:39","admin","true","","","","","","","false","?0.00","","","ACME Corporation","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"ACME APAC","","","","","2013-06-06 03:50:59","","","","Company","","","Hong Kong","2010-11-25 13:09:49","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME Corporation","false","?0.00","false","","?0.00","","","ACME","","","","admin","7","false","","",""
"ACME Australia","","Sydney","","","2013-06-06 03:51:12","","","","Company","","","RPC","2012-02-18 08:09:31","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME APAC","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME China","","Shanghai","","","2013-06-06 03:51:26","","","","Company","","","RPC","2010-11-25 13:14:54","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME APAC","false","?0.00","false","","?0.00","","","ACME","","","","admin","3","false","","",""
"ACME Corporation","","","","","2013-06-06 03:51:36","","","","Company","","","USA","2012-02-19 22:54:09","admin","true","","","","","","","false","?0.00","","","","false","?0.00","false","","?0.00","","","","","","","admin","2","false","","",""
"ACME Czech Republic","","Prague","","","2013-06-06 03:51:53","","","","Company","","","France","2012-02-18 08:11:41","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME EMEA","","","","","2013-06-06 03:52:06","","","","Company","","","UK","2010-11-25 13:08:52","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME Corporation","false","?0.00","false","","?0.00","","","ACME","","","","admin","5","false","","",""
"ACME France","","Paris","","","2013-06-06 03:52:17","","","","Company","","","France","2010-11-25 13:12:44","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME Germany","","Frankfurt","","","2013-06-06 03:52:31","","","","Company","","","Germany","2010-11-25 13:13:26","dariusz.maint","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
"ACME Italy","","Rome","","","2013-06-06 03:52:42","","","","Company","","","France","2012-02-18 08:12:19","admin","true","","","","","32.711472","-117.166587","false","?0.00","","","ACME EMEA","false","?0.00","false","","?0.00","","","ACME","","","","admin","1","false","","",""
